Time(s),Current(A),Voltage(V),Cycle
Time,I(A),V(V),Cycle
###,??,,??
t(s),,??,
,,,
,Current,Voltage,Cyc
9,10.362784318644021,53.461490481089086,1
23,11.312268747956402,54.046233583967116,1
34,,53.026560833208116,1
42,10.586485445280932,54.06127108004849,1
50,8.490733039142649,54.358520332519504,1
62,8.449287372921512,53.00824022844458,1
74,11.086738193568863,52.86602765989876,1
91,9.81554995812412,54.34101635122795,1
105,10.772966331308275,54.108671191640795,1
124,9.068187603946978,52.727395795484114,1
136,-26.3323388393731,46.98874114165662,1
149,-29.988787099544695,43.362673502945256,1
163,-23.49463506645256,45.34483203165752,1
182,-10.852749027472,43.14601804468977,1
197,-12.456921134857357,47.24712787010098,1
212,-9.132457814979222,46.419393494212194,1
225,-9.5753458708243,43.63767236239385,1
237,-19.728466112937276,44.56662274893409,1
248,-20.017193464246855,46.30262930375679,1
257,-28.908033499018792,45.396017174702386,1
262,11.005960530792633,53.04742296977967,2
err,11.586751443189206,52.814808956547175,2
291,10.462599783573634,52.22806604275847,2
296,11.510802677204127,53.41173343579742,2
312,10.03081067096158,53.73099188395297,2
324,10.18068323640685,52.90875667581864,2
339,8.993303649826863,52.332741747126974,2
350,8.21057261143589,53.835719734014525,2
358,10.347090702073361,52.35048224432238,2
375,10.125641785153578,53.59363178966229,2
392,-12.351825839500904,45.53387185886192,2
402,-22.370023615452375,44.73203398936239,2
415,-18.105952001504,46.65506561712339,2
428,-18.842446699085173,47.17603821550079,2
440,-17.433480098510557,43.66766212966248,2
450,-5.803845821132363,44.80676135455386,2
455,-29.117784155036663,47.59068454229358,2
471,-22.045567267713125,45.1942545420436,2
489,-13.290705831458862,46.376840574769986,2
494,-17.77222273754863,46.178457177806685,2
501,8.721768074797017,53.141027464496446,3
514,8.919297489831973,52.54206040039024,3
528,9.376208402219948,52.5473491511043,3
547,8.698246931831756,54.18323313568633,3
558,10.246730386178621,52.88238703776535,3
567,11.328866094864981,52.301569101278865,3
586,8.580316578790772,52.69398083307613,3
600,8.893416570094747,53.412366982250255,3
