Time(s),Current(A),Voltage(V),Cycle,dt_s,current_avg,dCap_mAh,Cumulative_Capacity_mAh,Status
9.0,10.36278431864402,53.461490481089086,1.0,0.0,10.36278431864402,0.0,0.0,Charge
23.0,11.312268747956402,54.04623358396712,1.0,14.0,10.83752653330021,42.14593651838971,42.14593651838971,Charge
42.0,10.586485445280932,54.06127108004849,1.0,19.0,10.949377096618667,57.788379121042965,99.93431563943267,Charge
50.0,8.490733039142649,54.358520332519504,1.0,8.0,9.538609242211791,21.196909427137314,121.13122506656998,Charge
62.0,8.449287372921512,53.00824022844458,1.0,12.0,8.47001020603208,28.23336735344027,149.36459242001024,Charge
74.0,11.086738193568864,52.86602765989876,1.0,12.0,9.768012783245188,32.56004261081729,181.92463503082752,Charge
91.0,9.81554995812412,54.34101635122795,1.0,17.0,10.451144075846493,49.35262480260844,231.27725983343595,Charge
105.0,10.772966331308275,54.1086711916408,1.0,14.0,10.294258144716197,40.033226118340764,271.31048595177674,Charge
124.0,9.068187603946978,52.727395795484114,1.0,19.0,9.920576967627627,52.35860066247914,323.6690866142559,Charge
136.0,-26.3323388393731,46.98874114165662,1.0,12.0,-8.632075617713062,-28.773585392376873,294.89550122187904,Discharge
149.0,-29.98878709954469,43.362673502945256,1.0,13.0,-28.160562969458894,-101.69092183415712,193.20457938772194,Discharge
163.0,-23.49463506645256,45.34483203165752,1.0,14.0,-26.741711082998627,-103.99554310055022,89.20903628717171,Discharge
182.0,-10.852749027472,43.14601804468977,1.0,19.0,-17.17369204696228,-90.63893024785649,-1.4298939606847796,Discharge
197.0,-12.456921134857357,47.24712787010098,1.0,15.0,-11.654835081164679,-48.56181283818616,-49.991706798870936,Discharge
212.0,-9.132457814979222,46.419393494212194,1.0,15.0,-10.79468947491829,-44.97787281215954,-94.96957961103047,Discharge
225.0,-9.5753458708243,43.63767236239385,1.0,13.0,-9.353901842901761,-33.777978877145244,-128.7475584881757,Discharge
237.0,-19.72846611293728,44.56662274893409,1.0,12.0,-14.65190599188079,-48.83968663960263,-177.58724512777835,Discharge
248.0,-20.01719346424685,46.30262930375679,1.0,11.0,-19.872829788592064,-60.72253546514242,-238.30978059292076,Discharge
257.0,-28.908033499018792,45.39601717470239,1.0,9.0,-24.462613481632822,-61.15653370408206,-299.46631429700284,Discharge
262.0,11.005960530792631,53.04742296977967,2.0,5.0,-8.95103648411308,-12.431995116823725,-311.89830941382655,Discharge
291.0,10.462599783573634,52.22806604275847,2.0,29.0,10.734280157183132,86.47059015508634,-225.4277192587402,Charge
296.0,11.510802677204127,53.41173343579742,2.0,5.0,10.986701230388881,15.259307264429003,-210.1684119943112,Charge
312.0,10.03081067096158,53.73099188395297,2.0,16.0,10.770806674082854,47.87025188481268,-162.29816010949853,Charge
324.0,10.18068323640685,52.90875667581864,2.0,12.0,10.105746953684214,33.68582317894738,-128.61233693055115,Charge
339.0,8.993303649826863,52.332741747126974,2.0,15.0,9.586993443116857,39.94580601298691,-88.66653091756424,Charge
350.0,8.21057261143589,53.835719734014525,2.0,11.0,8.601938130631376,26.283699843595873,-62.382831073968376,Charge
358.0,10.34709070207336,52.35048224432238,2.0,8.0,9.278831656754624,20.619625903899166,-41.76320517006921,Charge
375.0,10.125641785153578,53.59363178966229,2.0,17.0,10.236366243613467,48.33839615039693,6.575190980327719,Charge
392.0,-12.351825839500904,45.53387185886192,2.0,17.0,-1.1130920271736633,-5.256267906097855,1.3189230742298639,Discharge
402.0,-22.37002361545237,44.73203398936239,2.0,10.0,-17.360924727476636,-48.224790909657315,-46.90586783542745,Discharge
415.0,-18.105952001504,46.65506561712339,2.0,13.0,-20.237987808478188,-73.0816226417268,-119.98749047715424,Discharge
428.0,-18.842446699085173,47.17603821550079,2.0,13.0,-18.474199350294587,-66.71238654273046,-186.6998770198847,Discharge
440.0,-17.433480098510557,43.66766212966248,2.0,12.0,-18.137963398797865,-60.45987799599288,-247.15975501587758,Discharge
450.0,-5.803845821132363,44.80676135455386,2.0,10.0,-11.61866295982146,-32.27406377728183,-279.4338187931594,Discharge
455.0,-29.117784155036663,47.59068454229358,2.0,5.0,-17.460814988084515,-24.25113192789516,-303.6849507210545,Discharge
471.0,-22.045567267713125,45.1942545420436,2.0,16.0,-25.581675711374892,-113.69633649499953,-417.38128721605403,Discharge
489.0,-13.290705831458862,46.37684057476999,2.0,18.0,-17.668136549585995,-88.34068274792997,-505.721969963984,Discharge
494.0,-17.77222273754863,46.178457177806685,2.0,5.0,-15.531464284503746,-21.571478172921868,-527.2934481369059,Discharge
501.0,8.721768074797017,53.141027464496446,3.0,7.0,-4.525227331375807,-8.799053144341848,-536.0925012812478,Discharge
514.0,8.919297489831973,52.54206040039024,3.0,13.0,8.820532782314494,31.851923936135673,-504.2405773451121,Charge
